"SITE,C,254","X,N,19,15","Y,N,19,15","elevation","X","Y","slope","tri","aspect","tpi","dist_fish_river","dist_konkiep_river","dist_water_points","dist_tourist_road","dist_staff_buildings"
"FR37",17.611248,-27.441774,587,758107.142232421,6961920.94246457,14.6316868473316,5.875,140.91171415059,-59.8685218279295,2579.97322969359,19077.8797536456,6506.05614802153,8680.86789593509,11506.7074848407
"FR38",17.637631,-27.405473,625,760801.381025961,6965889.21620762,0.348016396977762,2.875,132.908722631392,-36.062292570845,3135.18143618125,22616.1740836469,7546.316267147,12895.5771786747,16295.8135735515
"FR39",17.610661,-27.368655,840,758219.17674118,6970026.11294607,8.27273219424498,3.75,137.688654060063,8.16211386265002,6382.2652379639,21670.3343371611,3169.72976450432,10496.3789822841,17497.3219074434
"FR40",17.569089,-27.39818,855,754038.164891772,6966839.39505152,10.9421091430403,4,255.126556909136,-29.2752106203727,8971.0396235805,16523.7572509298,3996.30999473227,7059.5038800733,12264.9203610778
"FR41",17.562297,-27.417956,907,753321.14384007,6964661.47643364,3.63062602772541,3.125,192.142638652216,-16.353076333929,8002.60467749062,15070.1743786763,5110.48461563858,6644.62367714084,10297.8145737707
"FR42",17.447069,-27.486136,844,741776.166370637,6957334.98717885,1.12421605545585,0.5,294.927617059783,4.45213173346951,13786.9118763992,2120.75472928757,3464.12883915315,3412.63647252669,3504.47348818865
"FR43",17.59593,-27.502836,532,756450.89181456,6955185.03367286,9.38787097137707,5.125,51.2938080054195,6.96298187388311,684.438551832366,16808.9127314454,5990.84924184236,5589.40530172031,5735.17340277172
"FR44",17.63423,-27.41498,601,760442.644473026,6964842.64993929,12.7489223131103,5,280.531524922855,-40.0260403369927,2861.9535305974,22021.2204339263,7991.0952425964,12048.8333711275,15250.7648061062
"FR45",17.60579,-27.45878,590,757527.890871786,6960047.45367439,2.54736030130813,1,90,-20.3364820015317,2180.79836402975,18084.3099360363,5546.70568429748,7629.06926722447,9666.72548405131
"FR46",17.62811,-27.44399,562,759769.335177317,6961640.1768264,9.24543516883827,3.625,115.587639640577,2.20602501914732,1493.51645476723,20614.8687759569,8017.3860694222,10172.020740405,12357.7363965185
"FR47",17.64815,-27.41315,589,761823.781716523,6965016.23329316,6.35086564144304,2.5,87.8706296644978,-6.42762318100586,1799.59076609415,23398.9814216101,8884.59726234762,13330.505922349,16227.6335513764
"FR48",17.66857,-27.41079,559,763849.172890039,6965234.6282254,6.25030770234989,2.625,217.539696467208,-6.68062292570846,1366.60190890635,25428.8183570302,10219.7748166623,15254.8418135498,17775.7676655074
"FR49",17.702587,-27.374243,528,767301.94395863,6969212.72638552,19.2704216683709,8,28.9179143466804,-13.68087822313,49.7474602473393,29778.2926302293,10780.8826458782,19588.2927234816,23022.9651751237
"FR50",17.65122,-27.43818,586,762068.27046751,6962235.57078478,0,0,90,-5.58054633648203,1415.37157326337,22989.2286760457,10391.8088538308,12545.4629261627,14410.613451925
"FR51",17.62372,-27.50348,539,759195.846862912,6955055.84493415,14.2030319996513,6.625,328.174042215244,-6.81490936941532,634.808198969765,19561.5542053809,8571.15603987158,8145.9135986089,8257.19799863372
"FR52",17.66383,-27.46163,602,763259.521110795,6959609.80370548,2.0926393304754,0.75,256.917503735194,9.03191217768699,642.468485493859,23692.8183791833,11270.2409234575,13274.5799035322,13833.7274601066
"FR53",17.462404,-27.433967,785,743406.490563848,6963086.66402042,3.55518894798059,1.875,149.917284638617,-14.9073270359969,14887.7724734072,5366.59201781535,4884.35841133077,79.6184439164808,4961.71877163842
"FR54",17.479458,-27.406224,795,745154.183187274,6966127.78168476,1.04394649251907,0.875,47.0912773686053,-25.6310952259382,15694.7321885209,8155.59412123573,7056.89685394421,331.127967255223,7686.20361571786
"FR55",17.439424,-27.460062,797,741077.350355671,6960239.51241385,13.2690527105573,5.75,190.874442630335,-0.831503701812608,15451.768695867,2157.34396732945,4325.32268959733,2867.4473669991,4407.22876569589
"FR56",17.459937,-27.459569,755,743106.358637655,6960254.14292246,6.60500990897247,2.625,180,-17.3058463109522,13639.7082911655,4180.36980094271,2621.35671555454,1357.26202495595,2708.19417319131
